Motor	Index	Joint	Dir	Offset	Signal	Min	Max
00	0	BL_HIP	-	+3	390	28	129
01	1	BL_KNEE	+	-3	390	22	153
02	2	BL_ANKLE	-	-2	407	41	180
03	3	FL_HIP	-	-6	420	57	174
04	4	FL_KNEE	-	+0	400	24	180
05	5	FL_ANKLE	+	-4	387	44	158
06	11	FR_HIP	+	+1	403	51	149
07	10	FR_KNEE	+	+0	400	17	158
08	9	FR_ANKLE	-	-1	403	49	180
09	15	BR_HIP	+	+4	413	4	131
10	14	BR_KNEE	-	+0	400	26	180
11	13	BR_ANKLE	+	+6	420	44	150
12	6	AUX_1	+	+0	400	0	180
13	7	AUX_2	+	+0	400	0	180
14	8	AUX_3	+	+0	400	0	180
15	12	AUX_4	+	+0	400	0	180
